Date,Primary Type,Location Description,Arrest,Ward,Year,Latitude,Longitude
11/10/23 14:30,THEFT,COMMERCIAL / BUSINESS OFFICE,false,14,2023,41.80805312,-87.70910336
11/10/23 18:30,BATTERY,RESIDENCE,false,18,2023,41.75149738,-87.71088663
11/10/23 18:00,CRIMINAL DAMAGE,STREET,false,28,2023,41.86614776,-87.68602617
11/10/23 21:00,CRIMINAL DAMAGE,RESIDENCE - PORCH / HALLWAY,false,32,2023,41.94154435,-87.66756606
11/10/23 18:30,CRIMINAL DAMAGE,STREET,false,8,2023,41.76374073,-87.59093022
11/10/23 16:30,BATTERY,SIDEWALK,false,45,2023,41.95548284,-87.74667356
11/10/23 3:00,ASSAULT,RESIDENCE,false,27,2023,41.9026915,-87.64063987
10/07/23 23:00,CRIMINAL TRESPASS,DRIVEWAY - RESIDENTIAL,false,6,2023,41.75953427,-87.60907381
11/10/23 12:01,THEFT,APARTMENT,false,8,2023,41.71176041,-87.5998425
09/06/23 14:00,CRIMINAL DAMAGE,STREET,false,26,2023,41.90713095,-87.69447314
08/25/2024 01:10:00 PM,BATTERY,APARTMENT,false,26,2024,41.90299923,-87.68877648
09/06/23 9:22,CRIMINAL DAMAGE,STREET,false,11,2023,41.81897033,-87.64254439
09/06/23 2:10,BATTERY,APARTMENT,false,17,2023,41.74643135,-87.64634573
09/06/23 17:38,BATTERY,APARTMENT,false,18,2023,41.76029697,-87.6843458
09/06/23 12:58,BATTERY,APARTMENT,false,20,2023,41.77988171,-87.63678991
09/06/23 5:16,OTHER OFFENSE,OTHER (SPECIFY),false,25,2023,41.85305866,-87.65019051
09/06/23 21:30,THEFT,STREET,false,4,2023,41.84387939,-87.62043259
09/06/23 20:50,BURGLARY,PARK PROPERTY,false,11,2023,41.85868659,-87.6318901
08/25/2024 11:20:00 PM,BATTERY,RESIDENCE,true,16,2024,41.7971678,-87.66588289
09/06/23 16:41,MOTOR VEHICLE THEFT,PARKING LOT / GARAGE (NON RESIDENTIAL),false,31,2023,41.93540928,-87.74675098
09/06/23 12:00,ASSAULT,OTHER (SPECIFY),false,33,2023,41.96846253,-87.70761329
09/06/23 17:30,THEFT,PARK PROPERTY,false,46,2023,41.96607814,-87.64715324
09/06/23 19:54,THEFT,SMALL RETAIL STORE,false,8,2023,41.73627709,-87.58521219
09/06/23 17:30,MOTOR VEHICLE THEFT,STREET,false,6,2023,41.76365995,-87.62686344
09/06/23 17:05,CRIMINAL DAMAGE,STREET,false,29,2023,41.89194395,-87.76877046
09/06/23 9:32,ASSAULT,APARTMENT,false,6,2023,41.74877662,-87.60516736
09/06/23 8:15,CRIMINAL DAMAGE,STREET,false,6,2023,41.76992556,-87.63726788
09/06/23 18:20,CRIMINAL DAMAGE,STREET,false,37,2023,41.91347275,-87.76437036
09/06/23 23:11,BURGLARY,GROCERY FOOD STORE,false,15,2023,41.80980337,-87.64556634
09/06/23 6:45,THEFT,STREET,false,48,2023,41.98715762,-87.66835632
09/06/23 18:00,CRIMINAL DAMAGE,STREET,false,4,2023,41.8060608,-87.59099935
08/17/2023 06:00:00 PM,MOTOR VEHICLE THEFT,STREET,true,30,2023,41.93905144,-87.73043892
07/24/2023 09:00:00 AM,DECEPTIVE PRACTICE,RESIDENCE,false,49,2023,42.01378764,-87.67318283
09/06/23 19:00,OTHER OFFENSE,RESIDENCE,true,41,2023,42.00029901,-87.80798102
08/25/2024 11:00:00 AM,CRIMINAL DAMAGE,APARTMENT,false,7,2024,41.75836562,-87.56150984
09/06/23 15:10,ASSAULT,ALLEY,false,6,2023,41.76889118,-87.61413359
09/06/23 10:30,ASSAULT,OTHER (SPECIFY),false,29,2023,41.87296355,-87.7536633
09/06/23 19:05,NARCOTICS,STREET,true,28,2023,41.88041411,-87.72811149
09/06/23 0:32,OTHER OFFENSE,RESIDENCE,false,10,2023,41.70202782,-87.56398196
09/05/23 8:00,ROBBERY,SIDEWALK,false,37,2023,41.90264247,-87.728111
09/06/23 21:30,THEFT,STREET,false,4,2023,41.80530964,-87.58899806
09/06/23 9:42,CRIMINAL TRESPASS,BANK,true,34,2023,41.88777118,-87.64430467
09/06/23 18:00,MOTOR VEHICLE THEFT,APARTMENT,false,40,2023,41.97392235,-87.67934257
09/06/23 20:49,CRIMINAL DAMAGE,STREET,false,3,2023,41.85384294,-87.62384204
09/05/23 12:00,DECEPTIVE PRACTICE,APARTMENT,false,16,2023,41.77672415,-87.68723414
09/06/23 19:00,MOTOR VEHICLE THEFT,STREET,false,29,2023,41.89761812,-87.76913922
09/06/23 9:00,THEFT,STREET,false,36,2023,41.92084865,-87.7731786
09/06/23 18:00,BURGLARY,APARTMENT,false,3,2023,41.85519055,-87.6238712
09/06/23 2:52,CRIMINAL TRESPASS,RESIDENCE,false,33,2023,41.96722233,-87.70966254
09/06/23 16:07,MOTOR VEHICLE THEFT,RESIDENCE,false,20,2023,41.78852441,-87.61906612
09/06/23 13:30,ASSAULT,DRUG STORE,false,42,2023,41.88447623,-87.63131061
09/06/23 11:00,CRIMINAL DAMAGE,RESIDENCE - GARAGE,false,7,2023,41.75447615,-87.56507476
08/30/2023 10:00:00 AM,DECEPTIVE PRACTICE,APARTMENT,false,28,2023,41.87284447,-87.699441
09/06/23 0:35,BATTERY,APARTMENT,false,15,2023,41.78221163,-87.69835455
09/06/23 21:55,BATTERY,SIDEWALK,false,9,2023,41.68626771,-87.61979192
09/06/23 22:00,BATTERY,APARTMENT,false,48,2023,41.98078211,-87.66680808
09/06/23 1:21,BURGLARY,PARKING LOT / GARAGE (NON RESIDENTIAL),true,26,2023,41.9206596,-87.74044483
09/06/23 20:00,MOTOR VEHICLE THEFT,STREET,false,18,2023,41.75473072,-87.68663749
